      Energy                up 
      -18.37750000       11.74886551 
      -18.37475000        6.88428021 
      -18.37200000        5.68341300 
      -18.36925000        7.60148178 
      -18.36650000        8.88933302 
      -18.36375000       11.63340157 
      -18.36100000       15.85402947 
      -18.35825000       17.18832954 
      -18.35550000       10.93457899 
      -18.35275000        6.80999148 
      -18.35000000       14.64863075 
      -18.34725000       17.06342620 
      -18.34450000       12.09048220 
      -18.34175000        9.78332000 
      -18.33900000        9.10312650 
      -18.33625000        7.91147890 
      -18.33350000       11.64100953 
      -18.33075000       12.22196299 
      -18.32800000       12.11912330 
      -18.32525000        9.76005542 
      -18.32250000        9.06964589 
      -18.31975000        7.74090448 
      -18.31700000       12.33084626 
      -18.31425000       13.38687996 
      -18.31150000       10.77263192 
      -18.30875000       18.74543832 
      -18.30600000       12.40711814 
      -18.30325000       18.89057431 
      -18.30050000       11.55436522 
      -18.29775000       16.25918850 
      -18.29500000       14.16732202 
      -18.29225000       14.48208485 
      -18.28950000       15.24360565 
      -18.28675000       12.57995559 
      -18.28400000       13.51736792 
      -18.28125000       11.90751004 
      -18.27850000        7.72079041 
      -18.27575000       10.17411426 
      -18.27300000       21.25066776 
      -18.27025000       17.33218422 
      -18.26750000       11.39739009 
      -18.26475000       31.50512836 
      -18.26200000        1.97772472 
      -18.25925000       13.99236785 
      -18.25650000        2.04791096 
      -18.25375000        0.00000000 
      -18.25100000        8.55789856 
      -18.24825000       62.47102567 
      -18.24550000       13.43006392 
      -18.24275000       13.76083588 
      -18.24000000       16.49846113 
      -18.23725000       16.23936493 
      -18.23450000       17.96624860 
      -18.23175000       21.58988164 
      -18.22900000       19.00499317 
      -18.22625000       17.15788567 
      -18.22350000       16.91492468 
      -18.22075000       12.50044288 
      -18.21800000       10.52611391 
      -18.21525000       13.87012501 
      -18.21250000       19.02398241 
      -18.20975000       22.44540622 
      -18.20700000       26.09198254 
      -18.20425000       16.91106338 
      -18.20150000       15.46261280 
      -18.19875000       17.58496085 
      -18.19600000       16.52929904 
      -18.19325000       24.18880090 
      -18.19050000       28.25840717 
      -18.18775000       29.37037704 
      -18.18500000       23.85640520 
      -18.18225000       33.23809955 
      -18.17950000        8.71319379 
      -18.17675000        7.38975949 
      -18.17400000        3.31162296 
      -18.17125000        1.52444906 
      -18.16850000       89.24152088 
      -18.16575000       15.66542055 
      -18.16300000       31.29162237 
      -18.16025000       34.44878588 
      -18.15750000       22.57662317 
      -18.15475000       22.34994432 
      -18.15200000       19.93549648 
      -18.14925000       22.62576735 
      -18.14650000       14.81585534 
      -18.14375000       17.47972982 
      -18.14100000       18.87763451 
      -18.13825000       22.82638858 
      -18.13550000       18.08614329 
      -18.13275000       28.98340329 
      -18.13000000       23.60487302 
      -18.12725000       28.46948238 
      -18.12450000       14.80219130 
      -18.12175000       13.66985043 
      -18.11900000        6.84752655 
      -18.11625000       15.72900467 
      -18.11350000       18.71798152 
      -18.11075000       12.13015312 
      -18.10800000        9.82577705 
      -18.10525000        9.68241284 
      -18.10250000        0.00000000 
      -18.09975000       10.77362389 
      -18.09700000        9.77851542 
      -18.09425000        7.81282123 
      -18.09150000       14.26446966 
      -18.08875000       15.61753995 
      -18.08600000       15.24747890 
      -18.08325000        7.34220262 
      -18.08050000        3.73251682 
      -18.07775000        1.71208923 
      -18.07500000       17.04615720 
      -18.07225000       22.75765067 
      -18.06950000        0.00000000 
      -18.06675000        0.16230395 
      -18.06400000       48.50656958 
      -18.06125000        0.00000000 
      -18.05850000        0.00000000 
      -18.05575000        0.00000000 
      -18.05300000        0.00000000 
      -18.05025000        0.00000000 
      -18.04750000        0.00000000 
      -18.04475000        0.00000000 
      -18.04200000        0.00000000 
      -18.03925000        0.00000000 
      -18.03650000        0.00000000 
      -18.03375000        0.00000000 
      -18.03100000        0.00000000 
      -18.02825000        0.00000000 
      -18.02550000        0.00000000 
      -18.02275000        0.00000000 
      -18.02000000        0.00000000 
      -18.01725000      323.54078745 
      -18.01450000        0.00000000 
      -18.01175000        0.00000000 
      -18.00900000        0.00000000 
      -18.00625000        0.00000000 
      -18.00350000        0.00000000 
      -18.00075000        0.00000000 
      -17.99800000        0.00000000 
      -17.99525000        0.00000000 
      -17.99250000        0.00000000 
      -17.98975000        0.00000000 
      -17.98700000        0.00000000 
      -17.98425000        0.00000000 
      -17.98150000        0.00000000 
      -17.97875000        0.00000000 
      -17.97600000        0.00000000 
      -17.97325000        0.00000000 
      -17.97050000        0.00000000 
      -17.96775000        0.00000000 
      -17.96500000        0.00000000 
      -17.96225000        0.00000000 
      -17.95950000        0.00000000 
      -17.95675000        0.00000000 
      -17.95400000        0.00000000 
      -17.95125000        0.00000000 
      -17.94850000        0.00000000 
      -17.94575000        0.00000000 
      -17.94300000        0.00000000 
      -17.94025000        0.00000000 
      -17.93750000        0.00000000 
      -17.93475000        0.00000000 
      -17.93200000        0.00000000 
      -17.92925000        0.00000000 
